Experiment,Sigma,E2,Einf,TPR,PDE
4,34.0,0.12794053673588435,0.12794053673588435,1.0,ζ_t = (-0.87)∇•(ζ𝘂)
4,35.0,0.14542055908242713,0.14542055908242713,1.0,ζ_t = (-0.85)∇•(ζ𝘂)
4,36.0,0.15024052538061827,0.15024052538061827,1.0,ζ_t = (-0.85)∇•(ζ𝘂)
4,37.0,0.17981613613032546,0.1757225387524164,0.3333333333333333,ζ_t = (-0.02)(uv)_xx + (0.03)(uv)_yy + (-0.82)∇•(ζ𝘂)
4,38.0,0.17001937799153144,0.17001937799153144,1.0,ζ_t = (-0.83)∇•(ζ𝘂)
4,39.0,0.18255151527168734,0.18255151527168734,1.0,ζ_t = (-0.82)∇•(ζ𝘂)
4,40.0,0.19355491243938594,0.19355491243938594,1.0,ζ_t = (-0.81)∇•(ζ𝘂)
5,1.0,0.0037249628842856986,0.0037249628842856986,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,2.0,0.0039052807067820883,0.0039052807067820883,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,3.0,0.0032045886841061133,0.0032045886841061133,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,4.0,0.0022954960964407523,0.0022954960964407523,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,5.0,0.0019481627656312561,0.0019481627656312561,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,6.0,0.0013964764970264554,0.0013964764970264554,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,7.0,0.0011115848633121983,0.0011115848633121983,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,8.0,0.0029904395583778554,0.0029904395583778554,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,9.0,0.004582078500997899,0.004582078500997899,1.0,ζ_t = (-1.00)∇•(ζ𝘂)
5,10.0,0.00606332892963013,0.00606332892963013,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
5,11.0,0.008018990682197802,0.008018990682197802,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
5,12.0,0.011682110300857862,0.011682110300857862,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
5,13.0,0.013345478422390977,0.013345478422390977,1.0,ζ_t = (-0.99)∇•(ζ𝘂)
5,14.0,0.01792734939674845,0.01792734939674845,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
5,15.0,0.01729064566445193,0.01729064566445193,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
5,16.0,0.022942852673104697,0.022942852673104697,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
5,17.0,0.023274801889734187,0.023274801889734187,1.0,ζ_t = (-0.98)∇•(ζ𝘂)
5,18.0,0.02762173726447681,0.02762173726447681,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
5,19.0,0.03456056986307465,0.03456056986307465,1.0,ζ_t = (-0.97)∇•(ζ𝘂)
5,20.0,0.037245135339603275,0.037245135339603275,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
5,21.0,0.0413481300010452,0.0413481300010452,1.0,ζ_t = (-0.96)∇•(ζ𝘂)
5,22.0,0.046420073604256595,0.046420073604256595,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
5,23.0,0.049066657021223925,0.049066657021223925,1.0,ζ_t = (-0.95)∇•(ζ𝘂)
